,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
229,Bandarbeyla,SO,82.63,9.4942,50.8122,clear sky,JABIR HOTEL
231,Souillac,MU,82.4,-20.5167,57.5167,broken clouds,Shanti Maurice Resort & Spa
233,Nosy Varika,MG,79.65,-20.5833,48.5333,overcast clouds,Hotel Volazara
234,Umm Lajj,SA,72.9,25.0213,37.2685,clear sky,Moon light Furnished Units
237,Afonso Bezerra,BR,75.36,-5.4983,-36.5056,overcast clouds,Pousada Shammah
239,Denpasar,ID,82.4,-8.65,115.2167,scattered clouds,ASTON Denpasar Hotel & Convention Center
241,Porto Novo,BJ,80.4,6.4965,2.6036,broken clouds,Tour Eiffel Hotel Benin
242,Road Town,VG,75.0,18.4167,-64.6167,broken clouds,"ZINGARA 76ft Catamaran, full crew-all included"
243,Tual,ID,82.92,-5.6667,132.75,broken clouds,Grand Vilia Hotel
252,Labuhan,ID,86.61,-6.8844,112.2051,broken clouds,PT PPI Lamongan Tambak C
254,Kavieng,PG,80.83,-2.5744,150.7967,moderate rain,Nusa Island Retreat
258,Vikindu,TZ,77.0,-7.0067,39.2985,light rain,St VICENT HOSTEL - VIKINDU
261,Trincomalee,LK,83.73,8.5711,81.2335,few clouds,Welcombe Hotel
264,Vila Velha,BR,72.0,-20.3297,-40.2925,clear sky,Quality Suites Vila Velha
267,Gushikawa,JP,75.2,26.3544,127.8686,few clouds,Kirari Guest House
279,Odweyne,SO,74.86,9.4092,45.064,broken clouds,Eng Hiirey House
280,Saint-Joseph,RE,82.4,-21.3667,55.6167,clear sky,"""Plantation Bed and Breakfast"
282,Saint-Pierre,RE,82.4,-21.3393,55.4781,clear sky,Lindsey Hôtel
283,Mount Isa,AU,87.8,-20.7333,139.5,clear sky,ibis Styles Mt Isa Verona
286,Sabang,ID,83.8,5.8933,95.3214,broken clouds,Hotel Citra
292,Hithadhoo,MV,83.41,-0.6,73.0833,broken clouds,Scoop Guest House
293,Aloleng,PH,85.53,16.1307,119.7824,scattered clouds,Agno Umbrella Rocks
297,Coro,VE,77.47,11.4045,-69.6734,overcast clouds,Federal
304,Camargo,MX,74.32,27.6667,-105.1667,scattered clouds,Hotel Santa Fe
306,Olinda,BR,71.6,-8.0089,-34.8553,moderate rain,Hotel Albergue de Olinda
309,Marawi,PH,82.99,7.9986,124.2928,overcast clouds,Derogongan Residence
310,Harper,LR,79.68,4.375,-7.7169,overcast clouds,Screensaver
311,Yenagoa,NG,76.55,4.9247,6.2642,overcast clouds,Aridolf Resort Wellness and Spa
312,Lantawan,PH,87.8,10.6167,123.9833,broken clouds,Durano Ecofarm and Spring Resort
316,Sao Felix Do Xingu,BR,70.27,-6.6447,-51.995,overcast clouds,Rio Xingu Camping
326,Dingle,PH,88.05,10.9995,122.6711,broken clouds,SEGAYA PROPERTY
327,Itupiranga,BR,75.2,-5.1347,-49.3267,clear sky,Hotel Panorama
328,Iranshahr,IR,84.2,27.2025,60.6848,clear sky,پلکه بزرگ
330,Dwarka,IN,84.92,22.2394,68.9678,clear sky,Hotel Narayan Avezika Comfort
332,Paciran,ID,86.58,-6.8767,112.3761,scattered clouds,Tanjung Kodok Beach Resort
333,Kapasan,ID,86.04,-6.7773,111.3789,broken clouds,Perum Perhutani Kph Mantingan
335,Mayumba,GA,78.22,-3.432,10.6554,overcast clouds,LIKWALE LODGE
336,Alyangula,AU,87.8,-13.8483,136.4192,scattered clouds,Groote Eylandt Lodge
342,Buloh Kasap,MY,89.6,2.5536,102.764,few clouds,Teratak Ixora Segamat
344,San Andres,CO,80.6,12.5847,-81.7006,scattered clouds,Hotel Arena Blanca
347,Portel,BR,73.33,-1.9356,-50.8211,overcast clouds,Kitnet do Marcos
358,Ormara,PK,83.88,25.2088,64.6357,clear sky,Crystal Beach and Camping Resort Ormara
366,Cockburn Town,TC,74.98,21.4612,-71.1419,scattered clouds,Osprey Beach Hotel
378,Vao,NC,77.22,-22.6667,167.4833,overcast clouds,Hotel Kou-Bugny
379,Lazaro Cardenas,MX,73.49,17.9583,-102.2,clear sky,Hotel Quinta Antigua
392,Ambulu,ID,87.01,-8.345,113.6058,few clouds,Hotel Ambulu Jember
393,Eydhafushi,MV,83.44,5.1033,73.0708,scattered clouds,Soneva Fushi
395,Hargeysa,SO,74.55,9.56,44.065,broken clouds,City Center Hotel
397,Lianzhou,CN,81.72,24.7811,112.3825,overcast clouds,Qingcheng Tourism Industry
403,Nacala,MZ,77.07,-14.5428,40.6728,light rain,Nacala Plaza Business Design Hotel
405,Rondonopolis,BR,71.55,-16.4708,-54.6356,few clouds,Serras Hotel
415,Fort Wellington,GY,77.36,6.4,-57.6,overcast clouds,TE'AMO Entertainment Park
418,Praia,CV,71.6,14.9215,-23.5087,clear sky,LT Aparthotel
